"","county_1_code","date","var","values"
"279","LT023",2020-03-11,"active",0
"280","LT023",2020-03-12,"active",0
"281","LT023",2020-03-13,"active",1
"282","LT023",2020-03-14,"active",2
"283","LT023",2020-03-15,"active",2
"284","LT023",2020-03-16,"active",2
"285","LT023",2020-03-17,"active",4
"286","LT025",2020-02-28,"active",0
"287","LT025",2020-02-29,"active",0
"288","LT025",2020-03-01,"active",0
"289","LT025",2020-03-02,"active",0
"290","LT025",2020-03-03,"active",0
"291","LT025",2020-03-04,"active",0
"292","LT025",2020-03-05,"active",0
"293","LT025",2020-03-06,"active",0
"294","LT025",2020-03-07,"active",0
"295","LT025",2020-03-08,"active",0
"296","LT025",2020-03-09,"active",0
"297","LT025",2020-03-10,"active",0
"298","LT025",2020-03-11,"active",0
"299","LT025",2020-03-12,"active",0
"300","LT025",2020-03-13,"active",0
"301","LT025",2020-03-14,"active",1
"302","LT025",2020-03-15,"active",1
"303","LT025",2020-03-16,"active",2
"304","LT025",2020-03-17,"active",2
"305","LT026",2020-02-28,"active",1
"306","LT026",2020-02-29,"active",1
"307","LT026",2020-03-01,"active",1
"308","LT026",2020-03-02,"active",1
"309","LT026",2020-03-03,"active",1
"310","LT026",2020-03-04,"active",1
"311","LT026",2020-03-05,"active",1
"312","LT026",2020-03-06,"active",1
"313","LT026",2020-03-07,"active",1
"314","LT026",2020-03-08,"active",1
"315","LT026",2020-03-09,"active",1
"316","LT026",2020-03-10,"active",1
"317","LT026",2020-03-11,"active",1
"318","LT026",2020-03-12,"active",1
"319","LT026",2020-03-13,"active",1
"320","LT026",2020-03-14,"active",0
"321","LT026",2020-03-15,"active",0
"322","LT026",2020-03-16,"active",0
"323","LT026",2020-03-17,"active",0
"324","LT028",2020-02-28,"active",0
"325","LT028",2020-02-29,"active",0
"326","LT028",2020-03-01,"active",0
"327","LT028",2020-03-02,"active",0
"328","LT028",2020-03-03,"active",0
"329","LT028",2020-03-04,"active",0
"330","LT028",2020-03-05,"active",0
"331","LT028",2020-03-06,"active",0
"332","LT028",2020-03-07,"active",0
"333","LT028",2020-03-08,"active",0
"334","LT028",2020-03-09,"active",0
"335","LT028",2020-03-10,"active",0
"336","LT028",2020-03-11,"active",0
"337","LT028",2020-03-12,"active",0
"338","LT028",2020-03-13,"active",0
"339","LT028",2020-03-14,"active",0
"340","LT028",2020-03-15,"active",1
"341","LT028",2020-03-16,"active",2
"342","LT028",2020-03-17,"active",2
